Code,Description,Level
C05.01.000.005,Ausbau,5
C05.01.000.006,Transport,5
C05.01.000.007,Entsorgung,5
C05.01.001,Kernbohrung,4
C05.01.001.001,Installation,5
C05.01.001.002,Geräteumsetzung,5
C05.01.001.003,Erstellung,5
C05.01.001.004,Schliessen,5
C05.01.001.005,Ausbau,5
C05.01.001.006,Transport,5
C05.01.001.007,Entsorgung,5
C05.01.002,Schnitt,4
C05.01.002.001,Installation,5
C05.01.002.002,Geräteumsetzung,5
C05.01.002.003,Erstellung,5
C05.01.002.004,Schliessen,5
C05.01.002.005,Ausbau,5
C05.01.002.006,Transport,5
C05.01.002.007,Entsorgung,5
C05.01.003,Öffnung,4
C05.01.003.001,Installation,5
C05.01.003.002,Geräteumsetzung,5
C05.01.003.003,Erstellung,5
C05.01.003.004,Schliessen,5
C05.01.003.005,Ausbau,5
C05.01.003.006,Transport,5
C05.01.003.007,Entsorgung,5
C05.02,"Maschinensockel, Einlage",3
C05.02.000,"Maschinensockel, Einlage",4
C05.02.000.000,"Maschinensockel, Einlage",5
C05.02.000.001,Schalung,5
C05.02.000.002,Bewehrung,5
C05.02.000.003,Beton,5
C05.02.000.004,Transport,5
C05.02.000.005,Montage,5
C05.02.000.006,Maschinensockel,5
C05.02.000.007,Gerätesockel,5
C05.02.001,Maschinensockel,4
C05.02.001.001,Schalung,5
C05.02.001.002,Bewehrung,5
C05.02.001.003,Beton,5
C05.02.002,Gerätesockel,4
C05.02.002.001,Schalung,5
C05.02.002.002,Bewehrung,5
C05.02.002.003,Beton,5
C05.02.003,Rohbaukanal,4
C05.02.003.004,Transport,5
C05.02.003.005,Montage,5
C05.02.004,Futterrohr,4
C05.02.004.004,Transport,5
C05.02.004.005,Montage,5
C05.02.005,Einlage,4
C05.02.005.006,Maschinensockel,5
C05.02.005.007,Gerätesockel,5
D,Technik Gebäude,1
D01,Elektroanlage,2
D01.01,Anlage Erzeugung Starkstrom,3
D01.01.000,Anlage Erzeugung Starkstrom,4
D01.01.000.000,Anlage Erzeugung Starkstrom,5
D01.01.001,Kraftwerkgenerator,4
D01.01.002,Dieselgenerator,4
D01.01.003,Nicht integrierte Photovoltaikanlage,4
D01.01.004,Nicht integrierte Energieerzeugungsanlage,4
D01.02,Transformierung Starkstrom,3
D01.02.000,Transformierung Starkstrom,4
D01.02.000.000,Transformierung Starkstrom,5
D01.02.001,Trafostation,4
D01.02.002,Transformator,4
D01.02.003,Notstromanlage,4
D01.02.004,Unterbruchsfreie Stromversorgungsanlage,4
D01.03,Speicherung Starkstrom,3
D01.03.000,Speicherung Starkstrom,4
D01.03.000.000,Speicherung Starkstrom,5
D01.03.001,Speicher von Photovoltaikanlagen,4
D01.03.002,Kondensatoranlage,4
D01.04,Installation Starkstrom,3
D01.04.000,Installation Starkstrom,4
D01.04.000.000,Installation Starkstrom,5
D01.04.001,Erdung,4
D01.04.002,Potenzialausgleich,4
D01.04.003,Innerer Blitzschutz,4
D01.04.004,Zuleitung,4
D01.04.005,Verteilleitung,4
D01.04.006,Installationssystem,4
D01.04.007,Kraftinstallation,4
D01.04.008,Lichtinstallation,4
D01.04.009,Schaltgerätekombination,4
D01.05,Verbraucher Starkstrom: Leuchten,3
D01.05.000,Verbraucher Starkstrom Leuchten,4
D01.05.000.000,Verbraucher Starkstrom Leuchten,5
D01.05.000.001,Leuchtelement,5
D01.05.000.002,Leuchtmittel,5
D01.05.000.003,Leuchtenzubehör,5
D01.05.000.004,Lieferung,5
D01.05.000.005,Installation,5
D01.05.000.006,Funktionsprüfung,5
D01.05.001,Raumleuchte,4
D01.05.001.001,Leuchtelement,5
D01.05.001.002,Leuchtmittel,5
D01.05.001.003,Leuchtenzubehör,5
D01.05.001.004,Lieferung,5
D01.05.001.005,Installation,5
D01.05.001.006,Funktionsprüfung,5
D01.05.002,Sicherheitsleuchte,4
D01.05.002.001,Leuchtelement,5
D01.05.002.002,Leuchtmittel,5
D01.05.002.003,Leuchtenzubehör,5
D01.05.002.004,Lieferung,5
D01.05.002.005,Installation,5
D01.05.002.006,Funktionsprüfung,5
D01.05.003,Leuchtreklame,4
D01.05.003.001,Leuchtelement,5
D01.05.003.002,Leuchtmittel,5
D01.05.003.003,Leuchtenzubehör,5
D01.05.003.004,Lieferung,5
D01.05.003.005,Installation,5
D01.05.003.006,Funktionsprüfung,5
D01.06,Verbraucher Starkstrom: Elektrogeräte,3
D01.06.000,Verbraucher Starkstrom: Elektrogeräte,4
D01.06.000.000,Verbraucher Starkstrom: Elektrogeräte,5
D01.06.000.001,Gerät,5
D01.06.000.002,Lieferung,5
D01.06.000.003,Montage,5
D01.06.001,Heizkörper,4
D01.06.001.001,Gerät,5
D01.06.001.002,Lieferung,5
D01.06.001.003,Montage,5
D01.06.002,Elektroboiler,4
D01.06.002.001,Gerät,5
D01.06.002.002,Lieferung,5
D01.06.002.003,Montage,5
D01.06.003,Waschmaschine,4
D01.06.003.001,Gerät,5
D01.06.003.002,Lieferung,5
D01.06.003.003,Montage,5
D01.06.004,Wäschetrockner,4
D01.06.004.001,Gerät,5
D01.06.004.002,Lieferung,5
D01.06.004.003,Montage,5
D01.07,Anlage Erzeugung Schwachstrom,3
D01.07.000,Anlage Erzeugung Schwachstrom,4
D01.07.000.000,Anlage Erzeugung Schwachstrom,5
D01.07.000.001,Anlage,5
D01.07.000.002,Lieferung,5
D01.07.000.003,Installation,5
D01.07.000.004,Montage,5
D01.07.000.005,Funktionsprüfung,5
D01.07.001,Informationsanlage,4
D01.07.001.001,Anlage,5
D01.07.001.002,Lieferung,5
D01.07.001.003,Installation,5
D01.07.001.004,Montage,5
D01.07.001.005,Funktionsprüfung,5
D01.07.002,Telekommunikationsanlage,4
D01.07.002.001,Anlage,5
D01.07.002.002,Lieferung,5
D01.07.002.003,Installation,5
D01.07.002.004,Montage,5
D01.07.002.005,Funktionsprüfung,5
D01.07.003,Evakuierungsanlage,4
D01.07.003.001,Anlage,5
D01.07.003.002,Lieferung,5
D01.07.003.003,Installation,5
D01.07.003.004,Montage,5
D01.07.003.005,Funktionsprüfung,5
D01.07.004,Sicherheitsleittechnik,4
D01.07.004.001,Anlage,5
D01.07.004.002,Lieferung,5
D01.07.004.003,Installation,5
D01.07.004.004,Montage,5
D01.07.004.005,Funktionsprüfung,5
D01.07.005,Uhrenanlage,4
D01.07.005.001,Anlage,5
D01.07.005.002,Lieferung,5
D01.07.005.003,Installation,5
D01.07.005.004,Montage,5
D01.07.005.005,Funktionsprüfung,5
D01.07.006,Audioanlage,4
D01.07.006.001,Anlage,5
D01.07.006.002,Lieferung,5
D01.07.006.003,Installation,5
D01.07.006.004,Montage,5
D01.07.006.005,Funktionsprüfung,5
D01.07.007,Videoanlage,4
D01.07.007.001,Anlage,5
D01.07.007.002,Lieferung,5
D01.07.007.003,Installation,5
D01.07.007.004,Montage,5
D01.07.007.005,Funktionsprüfung,5
D01.07.008,Radio-Empfangsanlage,4
D01.07.008.001,Anlage,5
D01.07.008.002,Lieferung,5
D01.07.008.003,Installation,5
D01.07.008.004,Montage,5
D01.07.008.005,Funktionsprüfung,5
D01.07.009,TV-Empfangsanlage,4
D01.07.009.001,Anlage,5
D01.07.009.002,Lieferung,5
D01.07.009.003,Installation,5
D01.07.009.004,Montage,5
D01.07.009.005,Funktionsprüfung,5
D01.07.010,Photovoltaikanlage,4
D01.07.010.001,Anlage,5
D01.07.010.002,Lieferung,5
D01.07.010.003,Installation,5
D01.07.010.004,Montage,5
D01.07.010.005,Funktionsprüfung,5
D01.07.011,Notstromanlage,4
D01.07.011.001,Anlage,5
D01.07.011.002,Lieferung,5
D01.07.011.003,Installation,5
D01.07.011.004,Montage,5
D01.07.011.005,Funktionsprüfung,5
D01.08,Transformierung Schwachstrom,3
D01.08.000,Transformierung Schwachstrom,4
D01.08.000.000,Transformierung Schwachstrom,5
D01.08.000.001,Anlage,5
D01.08.000.002,Lieferung,5
D01.08.000.003,Installation,5
D01.08.000.004,Montage,5
D01.08.000.005,Funktionsprüfung,5
D01.08.001,Kleintransformator,4
D01.08.001.001,Anlage,5
D01.08.001.002,Lieferung,5
D01.08.001.003,Installation,5
D01.08.001.004,Montage,5
D01.08.001.005,Funktionsprüfung,5
D01.08.002,Sicherheitstransformator,4
D01.08.002.001,Anlage,5
D01.08.002.002,Lieferung,5
D01.08.002.003,Installation,5
D01.08.002.004,Montage,5
D01.08.002.005,Funktionsprüfung,5
D01.09,Speicherung Schwachstrom,3
D01.09.000,Speicherung Schwachstrom,4
D01.09.000.000,Speicherung Schwachstrom,5
D01.09.000.001,Anlage,5
D01.09.000.002,Apparat,5
D01.09.000.003,Lieferung,5
D01.09.000.004,Installation,5
D01.09.000.005,Montage,5
D01.09.000.006,Funktionsprüfung,5
D01.09.001,Informationsanlage,4
D01.09.001.001,Anlage,5
D01.09.001.002,Apparat,5
D01.09.001.003,Lieferung,5
D01.09.001.004,Installation,5
D01.09.001.005,Montage,5
D01.09.001.006,Funktionsprüfung,5
D01.09.002,Telekommunikationsanlage,4
D01.09.002.001,Anlage,5
D01.09.002.002,Apparat,5
D01.09.002.003,Lieferung,5
D01.09.002.004,Installation,5
D01.09.002.005,Montage,5
D01.09.002.006,Funktionsprüfung,5
D01.09.003,Evakuierungsanlage,4
D01.09.003.001,Anlage,5
D01.09.003.002,Apparat,5
D01.09.003.003,Lieferung,5
D01.09.003.004,Installation,5
D01.09.003.005,Montage,5
D01.09.003.006,Funktionsprüfung,5
D01.09.004,Sicherheitsleittechnik,4
D01.09.004.001,Anlage,5
D01.09.004.002,Apparat,5
D01.09.004.003,Lieferung,5
D01.09.004.004,Installation,5
D01.09.004.005,Montage,5
D01.09.004.006,Funktionsprüfung,5
D01.09.005,Uhrenanlage,4
D01.09.005.001,Anlage,5
D01.09.005.002,Apparat,5
D01.09.005.003,Lieferung,5
D01.09.005.004,Installation,5
D01.09.005.005,Montage,5
D01.09.005.006,Funktionsprüfung,5
D01.09.006,Audioanlage,4
D01.09.006.001,Anlage,5
D01.09.006.002,Apparat,5
D01.09.006.003,Lieferung,5
D01.09.006.004,Installation,5
D01.09.006.005,Montage,5
D01.09.006.006,Funktionsprüfung,5
D01.09.007,Videoanlage,4
D01.09.007.001,Anlage,5
D01.09.007.002,Apparat,5
D01.09.007.003,Lieferung,5
D01.09.007.004,Installation,5
D01.09.007.005,Montage,5
D01.09.007.006,Funktionsprüfung,5
D01.09.008,Radio-Empfangsanlage,4
D01.09.008.001,Anlage,5
D01.09.008.002,Apparat,5
D01.09.008.003,Lieferung,5
D01.09.008.004,Installation,5
D01.09.008.005,Montage,5
D01.09.008.006,Funktionsprüfung,5
D01.09.009,TV-Empfangsanlage,4
D01.09.009.001,Anlage,5
D01.09.009.002,Apparat,5
D01.09.009.003,Lieferung,5
D01.09.009.004,Installation,5
D01.09.009.005,Montage,5
D01.09.009.006,Funktionsprüfung,5
D01.09.010,Photovoltaikanlage,4
D01.09.010.001,Anlage,5
D01.09.010.003,Lieferung,5
D01.09.010.004,Installation,5
D01.09.010.005,Montage,5
D01.09.010.006,Funktionsprüfung,5
D01.10,Installation Schwachstrom,3
D01.10.000,Installation Schwachstrom,4
D01.10.000.000,Installation Schwachstrom,5
D01.10.000.001,Installation,5
D01.10.000.002,Funktionsprüfung,5
D01.10.001,Informationsanlage,4
D01.10.001.001,Installation,5
D01.10.001.002,Funktionsprüfung,5
D01.10.002,Telekommunikationsanlage,4
D01.10.002.001,Installation,5
D01.10.002.002,Funktionsprüfung,5
D01.10.003,Evakuierungsanlage,4
D01.10.003.001,Installation,5
D01.10.003.002,Funktionsprüfung,5
D01.10.004,Sicherheitsleitanlage,4
D01.10.004.001,Installation,5
D01.10.004.002,Funktionsprüfung,5
D01.10.005,Gebäudeautomationsanlage,4
D01.10.005.001,Installation,5
D01.10.005.002,Funktionsprüfung,5
D01.10.006,Sicherheitsanlage,4
D01.10.006.001,Installation,5
D01.10.006.002,Funktionsprüfung,5
D01.10.007,Technische Brandschutzanlage,4
D01.10.007.001,Installation,5
D01.10.007.002,Funktionsprüfung,5
D01.10.008,Uhrenanlage,4
D01.10.008.001,Installation,5
D01.10.008.002,Funktionsprüfung,5
D01.10.009,Audioanlage,4
D01.10.009.001,Installation,5
D01.10.009.002,Funktionsprüfung,5
D01.10.010,Videoanlage,4
D01.10.010.001,Installation,5
D01.10.010.002,Funktionsprüfung,5
D01.10.011,Radio-Empfangsanlage,4
D01.10.011.001,Installation,5
D01.10.011.002,Funktionsprüfung,5
D01.10.012,TV-Empfangsanlage,4
D01.10.012.001,Installation,5
D01.10.012.002,Funktionsprüfung,5
D01.11,Verbraucher Schwachstrom,3
D01.11.000,Verbraucher Schwachstrom,4
D01.11.000.000,Verbraucher Schwachstrom,5
D01.11.000.001,Apparat,5
D01.11.000.002,Lieferung,5
D01.11.000.003,Installation,5
D01.11.000.004,Montage,5
D01.11.000.005,Funktionsprüfung,5
D01.11.001,Sonnerieapparat,4
D01.11.001.001,Apparat,5
D01.11.001.002,Lieferung,5
D01.11.001.003,Installation,5
D01.11.001.004,Montage,5
D01.11.001.005,Funktionsprüfung,5
D01.11.002,Türapparat,4
D01.11.002.001,Apparat,5
D01.11.002.002,Lieferung,5
D01.11.002.003,Installation,5
D01.11.002.004,Montage,5
D01.11.002.005,Funktionsprüfung,5
D01.11.003,Gegensprechapparat,4
D01.11.003.001,Apparat,5
D01.11.003.002,Lieferung,5
D01.11.003.003,Installation,5
D01.11.003.004,Montage,5
D01.11.003.005,Funktionsprüfung,5
D01.11.004,Telekommunikationsapparat,4
D01.11.004.001,Apparat,5
D01.11.004.002,Lieferung,5
D01.11.004.003,Installation,5
D01.11.004.004,Montage,5
D01.11.004.005,Funktionsprüfung,5
D02,Gebäudeautomation,2
D02.01,Managementebene,3
D02.01.000,Managementebene,4
D02.01.000.000,Managementebene,5
D02.01.000.001,Verbindungsstelle,5
D02.01.000.002,Software,5
D02.01.000.003,Hardware,5
D02.01.000.004,Bediengerät,5
D02.01.000.005,Anzeigegerät,5
D02.01.001,Grafisch interaktive Verbindungsstelle,4
D02.01.001.001,Verbindungsstelle,5
D02.01.001.002,Software,5
D02.01.001.003,Hardware,5
D02.01.001.004,Bediengerät,5
D02.01.001.005,Anzeigegerät,5
D02.02,Automationsebene,3
D02.02.000,Automationsebene,4
D02.02.000.000,Automationsebene,5
D02.02.001,Heizungstechnische Anlage,4
D02.02.002,Lüftungstechnische Anlage,4
D02.02.003,Klimatechnische Anlage,4
D02.02.004,Elektrotechnische Anlage,4
D02.03,Feldebene,3
D02.03.000,Feldebene,4
D02.03.000.000,Feldebene,5
D02.03.001,Messwertgerät,4
D02.03.002,Kontaktgeber,4
D02.03.003,Schaltgerät,4
D02.03.004,Stellgerät,4
D02.03.005,Aktor,4
D02.03.006,Sensor,4
D02.04,Raumautomation,3
D02.04.000,Raumautomation,4
D02.04.000.000,Raumautomation,5
D02.04.000.001,Anlage,5
D02.04.000.002,Integrierte Überwachung,5
D02.04.000.003,Steuerlogik,5
D02.04.000.004,Steuerung,5
D02.04.000.005,Regelung der technischen Gebäudeausrüstung,5
D02.04.000.006,Optimierung der technischen Gebäudeausrüstung,5
D02.04.001,Einzelraumregelung,4
D02.04.001.001,Anlage,5
D02.04.001.002,Integrierte Überwachung,5
D02.04.001.003,Steuerlogik,5
D02.04.001.004,Steuerung,5
D02.04.001.005,Regelung der technischen Gebäudeausrüstung,5
D02.04.001.006,Optimierung der technischen Gebäudeausrüstung,5
D02.04.002,Zonenregelung,4
D02.04.002.001,Anlage,5
D02.04.002.002,Integrierte Überwachung,5
D02.04.002.003,Steuerlogik,5
D02.04.002.004,Steuerung,5
D02.04.002.005,Regelung der technischen Gebäudeausrüstung,5
D02.04.002.006,Optimierung der technischen Gebäudeausrüstung,5
D02.05,Automationsnetzwerk,3
D02.05.000,Automationsnetzwerk,4
D02.05.000.000,Automationsnetzwerk,5
D02.05.001,Managementebene,4
D02.05.002,Automationsebene,4
D02.05.003,Raumautomation,4
D02.05.004,Fremdsystem,4
D02.06,Schaltgerätekombination,3
D02.06.000,Schaltgerätekombination,4
D02.06.000.000,Schaltgerätekombination,5
D02.06.001,Steuerung,4
D02.06.002,Messung,4
D02.06.003,Meldung,4
D02.07,Systemintegration,3
D02.07.000,Systemintegration,4
D02.07.000.000,Systemintegration,5
D02.07.000.001,Informationsanlage,5
D02.07.000.002,Telekommunikationsanlage,5
D02.07.000.003,Evakuierungsanlage,5
D02.07.000.004,Sicherheitsleitanlage,5
D02.07.000.005,Sicherheitsanlage,5
D02.07.000.006,Technische Brandschutzanlage,5
D02.07.000.007,Sonnenschutz,5
D02.07.000.008,Verdunkelung,5
D02.07.001,Definition der systeminternen Kommunikation,4
D02.07.001.001,Informationsanlage,5
D02.07.001.002,Telekommunikationsanlage,5
D02.07.001.003,Evakuierungsanlage,5
D02.07.001.004,Sicherheitsleitanlage,5
D02.07.001.005,Sicherheitsanlage,5
D02.07.001.006,Technische Brandschutzanlage,5
D02.07.001.007,Sonnenschutz,5
D02.07.001.008,Verdunkelung,5
D02.07.002,Abstimmung der systeminternen Kommunikation,4
D02.07.002.001,Informationsanlage,5
D02.07.002.002,Telekommunikationsanlage,5
D02.07.002.003,Evakuierungsanlage,5
D02.07.002.004,Sicherheitsleitanlage,5
D02.07.002.005,Sicherheitsanlage,5
D02.07.002.006,Technische Brandschutzanlage,5
D02.07.002.007,Sonnenschutz,5
D02.07.002.008,Verdunkelung,5
D02.07.003,Umsetzung der systeminternen Kommunikation,4
D02.07.003.001,Informationsanlage,5
D02.07.003.002,Telekommunikationsanlage,5
D02.07.003.003,Evakuierungsanlage,5
D02.07.003.004,Sicherheitsleitanlage,5
D02.07.003.005,Sicherheitsanlage,5
D02.07.003.006,Technische Brandschutzanlage,5
D02.07.003.007,Sonnenschutz,5
D02.07.003.008,Verdunkelung,5
D03,Sicherheitsanlage,2
D03.01,"Einbruchmeldeanlage, Überfallmeldeanlage",3
D03.01.000,"Einbruchmeldeanlage, Überfallmeldeanlage",4
D03.01.000.000,"Einbruchmeldeanlage, Überfallmeldeanlage",5
D03.01.001,Einbruchmeldeanlage,4
D03.01.002,Überfallmeldeanlage,4
D03.01.003,Anwesenheitskontrolle,4
D03.01.004,Diebstahlsicherungsanlage,4
D03.02,Zutrittskontrollanlage,3
D03.02.000,Zutrittskontrollanlage,4
D03.02.000.000,Zutrittskontrollanlage,5
D03.02.001,Zutrittskontrollanlage,4
D03.02.002,Abfertigungsanlage,4
D03.02.003,Ausweislesegerät,4
D03.02.004,Lichtschranke,4
D03.03,Videoüberwachungsanlage,3
D03.03.000,Videoüberwachungsanlage,4
D03.03.000.000,Videoüberwachungsanlage,5
D03.03.001,Bilderzeugung,4
D03.03.002,Bildübertragung,4
D03.03.003,Bildsteuerung,4
D03.03.004,Bilddokumentation,4
D03.03.005,Bildspeicherung,4
D03.03.006,Bilddarstellung,4
D03.03.007,Bildbewertung,4
D03.04,Schliessanlage,3
D03.04.000,Schliessanlage,4
D03.04.000.000,Schliessanlage,5
D03.04.000.001,Vorrichtung,5
D03.04.000.002,Anschluss,5
D03.04.000.003,Abdichtung,5
D03.04.000.004,Beschichtung,5
D03.04.000.005,Beschlag,5
D03.04.000.006,Antrieb,5
D03.04.000.007,Mechanische Schliessanlage,5
D03.04.000.008,Mechatronische Schliessanlage,5
D03.04.000.009,Elektrische Schliessanlage,5
D03.04.000.010,Schlüsselrohr,5
D03.04.000.011,Einheitsschliessung,5
D03.04.001,Schliessanlage,4
D03.04.001.001,Vorrichtung,5
D03.04.001.002,Anschluss,5
D03.04.001.003,Abdichtung,5
D03.04.001.004,Beschichtung,5
D03.04.001.005,Beschlag,5
D03.04.001.006,Antrieb,5
D03.04.001.007,Mechanische Schliessanlage,5
D03.04.001.008,Mechatronische Schliessanlage,5
D03.04.001.009,Elektrische Schliessanlage,5
D03.04.001.010,Schlüsselrohr,5
D03.04.001.011,Einheitsschliessung,5
D04,Technische Brandschutzanlage,2
D04.01,Brandmeldeanlage,3
D04.01.000,Brandmeldeanlage,4
D04.01.000.000,Brandmeldeanlage,5
D04.01.000.001,Anlage,5
D04.01.000.002,Brandmelder,5
D04.01.000.003,Anzeigeapparat,5
D04.01.000.004,Alarmapparat,5
D04.01.001,Branddetektionsanlage,4
D04.01.001.001,Anlage,5
D04.01.001.002,Brandmelder,5
D04.01.001.003,Anzeigeapparat,5
D04.01.001.004,Alarmapparat,5
D04.02,Gaswarnanlage,3
D04.02.000,Gaswarnanlage,4
D04.02.000.000,Gaswarnanlage,5
D04.02.000.001,Anlage,5
D04.02.000.002,Gasmelder,5
D04.02.000.003,Anzeigeapparat,5
D04.02.000.004,Alarmapparat,5
D04.02.001,Gasmeldeanlage,4
D04.02.001.001,Anlage,5
D04.02.001.002,Gasmelder,5
D04.02.001.003,Anzeigeapparat,5
D04.02.001.004,Alarmapparat,5
D04.03,Nasslöschanlage,3
D04.03.000,Nasslöschanlage,4
D04.03.000.000,Nasslöschanlage,5
D04.03.000.001,Anlage,5
D04.03.000.002,Apparat,5
D04.03.000.003,Leitung,5
D04.03.000.004,Anschlussstelle,5
D04.03.001,Löschanlage,4
D04.03.001.001,Anlage,5
D04.03.001.002,Apparat,5
D04.03.001.003,Leitung,5
D04.03.001.004,Anschlussstelle,5
D04.04,Trockenlöschanlage,3
D04.04.000,Trockenlöschanlage,4
D04.04.000.000,Trockenlöschanlage,5
D04.04.000.001,Anlage,5
D04.04.000.002,Apparat,5
D04.04.000.003,Leitung,5
D04.04.000.004,Anschlussstelle,5
D04.04.000.005,Sauerstoff-Reduktionsanlage,5
D04.04.000.006,Schaumlöschdüse,5
D04.04.000.007,Halonlöschdüse,5
D04.04.000.008,CO2-Löschdüse,5
D04.04.001,Löschanlage,4
D04.04.001.001,Anlage,5
D04.04.001.002,Apparat,5
D04.04.001.003,Leitung,5
D04.04.001.004,Anschlussstelle,5
D04.04.001.005,Sauerstoff-Reduktionsanlage,5
D04.04.001.006,Schaumlöschdüse,5
D04.04.001.007,Halonlöschdüse,5
D04.04.001.008,CO2-Löschdüse,5
D04.05,Löschgerät,3
D04.05.000,Löschgerät,4
D04.05.000.000,Löschgerät,5
D04.05.001,Schlauchhaspel,4
D04.05.002,Handfeuerlöscher,4
D04.06,Rauch- und Wärmebehandlungsanlage,3
D04.06.000,Rauch- und Wärmebehandlungsanlage,4
D04.06.000.000,Rauch- und Wärmebehandlungsanlage,5
D04.06.001,Rauch- und Wärmebehandlungsanlage,4
D04.07,Elektroakustische Lautsprecheranlage,3
D04.07.000,Elektroakustische Lautsprecheranlage,4
D04.07.000.000,Elektroakustische Lautsprecheranlage,5
D04.07.001,Horn,4
D04.07.002,Lautsprecher,4
D04.07.003,Sprachalarmanlage,4
D04.07.004,Elektroakustisches Notfallwarnsystem,4
D05,Wärmetechnische Anlage,2
D05.01,"Wärmequelle, -senke, Brennstofflager",3
D05.01.000,Lagerung zu Wärmeanlage,4
D05.01.001,Tank für feste Brennstoffe,4
D05.01.002,Tank für flüssige Brennstoffe,4
D05.01.003,Tank für gasförmige Brennstoffe,4
D05.01.004,Installation zu Wärmeerzeuger,4
D05.01.005,Tanküberwachung,4
D05.01.006,Lagerüberwachung,4
D05.02,Wärmeerzeugung,3
D05.02.000,Wärmeerzeugung,4
D05.02.000.000,Wärmeerzeugung,5
D05.02.001,Kompaktwärmezentrale für Öl,4
D05.02.002,Kompaktwärmezentrale für Gas,4
D05.02.003,Heizkessel für Öl,4
D05.02.004,Heizkessel für Gas,4
D05.02.005,Heizkessel für Holz,4
D05.02.006,Heizkessel für Stückholzfeuerung,4
D05.02.007,Heizkessel für Holzschnitzelfeuerung,4
D05.02.008,Luft-Wasser-Wärmepumpe,4
D05.02.009,Wasser-Wasser-Wärmepumpe,4
D05.02.010,Sole-Wasser-Wärmepumpe,4
D05.02.011,Erdregister,4
D05.02.012,Erdkollektor,4
D05.02.013,Erdsonde,4
D05.02.014,Elektrowärmeerzeuger,4
D05.02.015,Sonnenkollektor,4
D05.02.016,Fernwärme,4
D05.03,Wärmespeicherung,3
D05.03.000,Wärmespeicherung,4
D05.03.000.000,Wärmespeicherung,5
D05.03.001,Wärmespeicherung,4
D05.04,Wärmeverteilung,3
D05.04.000,Wärmeverteilung,4
D05.04.000.000,Wärmeverteilung,5
D05.04.000.001,Leitung,5
D05.04.000.002,Pumpe,5
D05.04.000.003,Ventil,5
D05.04.000.004,Expansionsgefäss,5
D05.04.000.005,Sensor,5
D05.04.000.006,Anschlussstelle,5
D05.04.000.007,Dämmung,5
D05.04.000.008,Beschichtung,5
D05.04.000.009,Druckprüfung,5
D05.04.000.010,Funktionsprüfung,5
D05.04.001,Leitung zu Wärmeverteilung,4
D05.04.001.001,Leitung,5
D05.04.001.002,Pumpe,5
D05.04.001.003,Ventil,5
D05.04.001.004,Expansionsgefäss,5
D05.04.001.005,Sensor,5
D05.04.001.006,Anschlussstelle,5
D05.04.001.007,Dämmung,5
D05.04.001.008,Beschichtung,5
D05.04.001.009,Druckprüfung,5
D05.04.001.010,Funktionsprüfung,5
D05.05,Wärmeabgabe,3
D05.05.000,Wärmeabgabe,4
D05.05.000.000,Wärmeabgabe,5
D05.05.000.001,Bauteil,5
D05.05.000.002,Boden,5
D05.05.000.003,Wand,5
D05.05.000.004,Decke,5
D05.05.000.005,Armatur,5
D05.05.000.006,Befestigung,5
D05.05.000.007,Unterverteilung,5
D05.05.001,Wärmeabgebendes Bauteil,4
D05.05.001.001,Bauteil,5
D05.05.001.002,Boden,5
D05.05.001.003,Wand,5
D05.05.001.004,Decke,5
D05.05.001.005,Armatur,5
D05.05.001.006,Befestigung,5
D05.05.001.007,Unterverteilung,5
D05.06,Wärmebezug:  Investitionsanteil,3
D05.06.000,Wärmebezug:  Investitionsanteil,4
D05.06.000.000,Wärmebezug:  Investitionsanteil,5
D05.06.001,Kompaktwärmezentrale für Öl,4
D05.06.002,Kompaktwärmezentrale für Gas,4
D05.06.003,Heizkessel für Öl,4
D05.06.004,Heizkessel für Gas,4
D05.06.005,Heizkessel für Holz,4
D05.06.006,Heizkessel für Stückholzfeuerung,4
D05.06.007,Heizkessel für Holzschnitzelfeuerung,4
D05.06.008,Luft-Wasser-Wärmepumpe,4
D05.06.009,Wasser-Wasser-Wärmepumpe,4
D05.06.010,Sole-Wasser-Wärmepumpe,4
D05.06.011,Erdregister,4
D05.06.012,Erdkollektor,4
D05.06.013,Erdsonde,4
D05.06.014,Elektrowärmeerzeuger,4
D05.06.015,Sonnenkollektor,4
D05.06.016,Fernwärme,4
D06,Kältetechnische Anlage,2
D06.01,"Kältequelle, -senke, Brennstofflager",3
D06.01.000,Lagerung zu Kälteanlage,4
D06.01.001,Tank für feste Stoffe,4
D06.01.002,Tank für flüssige Stoffe,4
D06.01.003,Installation zu Kälteerzeuger,4
D06.01.004,Tanküberwachung,4
D06.01.005,Lagerüberwachung,4
D06.02,Kälteerzeugung,3
D06.02.000,Kälteerzeugung,4
D06.02.000.000,Kälteerzeugung,5
D06.02.000.001,Anlage,5
D06.02.000.002,Sensor,5
D06.02.000.003,Stellglied,5
D06.02.001,Kälteerzeugungsanlage,4
D06.02.001.001,Anlage,5
D06.02.001.002,Sensor,5
D06.02.001.003,Stellglied,5
D06.02.002,Kälterückgewinnungsanlage,4
D06.02.002.001,Anlage,5
D06.02.002.002,Sensor,5
D06.02.002.003,Stellglied,5
D06.03,Kältespeicherung,3
D06.03.000,Kältespeicherung,4
D06.03.000.000,Kältespeicherung,5
D06.03.001,Kältespeicherung,4
D06.04,Kälteverteilung,3
D06.04.000,Kälteverteilung,4
D06.04.000.000,Kälteverteilung,5
D06.04.000.001,Leitung,5
D06.04.000.002,Pumpe,5
D06.04.000.003,Ventil,5
