Quelle;GUID;Kategorie;Typ;Familie;Zusatzinfo;Menge;Einheit;Ebene;Schichtaufbau;Dicke_mm;Fläche_m2;Länge_m
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-00029346;Decken;600 x 600mm Grid;;;40.509999999999998;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-0002934e;Decken;600 x 600mm Grid;;;12.300000000000001;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-00029356;Decken;600 x 600mm Grid;;;7.0999999999999996;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-0002935e;Decken;600 x 600mm Grid;;;6.8200000000000003;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-00029366;Decken;600 x 600mm Grid;;;168.68000000000001;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-00029380;Decken;600 x 600mm Grid;;;55.240000000000002;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-0002938e;Decken;600 x 600mm Grid;;;41.060000000000002;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-00029396;Decken;600 x 600mm Grid;;;122.48999999999999;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000293a4;Decken;600 x 600mm Grid;;;94.209999999999994;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000293ae;Decken;600 x 600mm Grid;;;7.0800000000000001;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000293b6;Decken;600 x 600mm Grid;;;18.850000000000001;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000293be;Decken;600 x 600mm Grid;;;13.690000000000000;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000293c6;Decken;600 x 600mm Grid;;;13.119999999999999;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000293ce;Decken;600 x 600mm Grid;;;73.329999999999998;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000293d6;Decken;600 x 600mm Grid;;;48.130000000000003;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000293de;Decken;600 x 600mm Grid;;;31.710000000000001;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000293e6;Decken;600 x 600mm Grid;;;31.710000000000001;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000293ee;Decken;600 x 600mm Grid;;;31.710000000000001;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000293f6;Decken;600 x 600mm Grid;;;48.130000000000003;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000293fe;Decken;600 x 600mm Grid;;;31.710000000000001;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-00029406;Decken;600 x 600mm Grid;;;30.75;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-0002941a;Decken;600 x 600mm Grid;;;60.009999999999998;m2;03 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-00029424;Decken;600 x 600mm Grid;;;5.5800000000000001;m2;03 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-0002942c;Decken;600 x 600mm Grid;;;50.259999999999998;m2;03 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-00029434;Decken;600 x 600mm Grid;;;58.869999999999997;m2;03 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-00029442;Decken;600 x 600mm Grid;;;131.99000000000001;m2;03 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-00029450;Decken;600 x 600mm Grid;;;52.670000000000002;m2;03 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-00029458;Decken;600 x 600mm Grid;;;44.299999999999997;m2;03 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-00029460;Decken;600 x 600mm Grid;;;48.700000000000003;m2;03 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-00029468;Decken;600 x 600mm Grid;;;80.980000000000004;m2;03 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-00029470;Decken;600 x 600mm Grid;;;77.780000000000001;m2;03 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-0002947a;Decken;600 x 600mm Grid;;;18.850000000000001;m2;03 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-00029482;Decken;600 x 600mm Grid;;;7.0800000000000001;m2;03 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-0002948a;Decken;600 x 600mm Grid;;;13.690000000000000;m2;03 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-00029492;Decken;600 x 600mm Grid;;;13.119999999999999;m2;03 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-0002949a;Decken;600 x 600mm Grid;;;73.329999999999998;m2;03 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000294a2;Decken;600 x 600mm Grid;;;64.549999999999997;m2;03 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000294aa;Decken;600 x 600mm Grid;;;48.130000000000003;m2;03 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000294b2;Decken;600 x 600mm Grid;;;64.549999999999997;m2;03 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000294ba;Decken;600 x 600mm Grid;;;80.019999999999996;m2;03 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003b4f9;Decken;Furred Ceiling;;;449.98000000000002;m2;03 - Floor;Metal - Stud Layer [Tragend] (22 mm) | Plasterboard [Finish 2] (16 mm);38;;
racadvancedsampleproject;756f49ce-c2cc-4494-9564-30c29a26ab7f-0003c741;Decken;Furred Ceiling;;;356.16000000000003;m2;02 - Floor;Metal - Stud Layer [Tragend] (22 mm) | Plasterboard [Finish 2] (16 mm);38;;
racadvancedsampleproject;756f49ce-c2cc-4494-9564-30c29a26ab7f-0003c77d;Decken;Furred Ceiling;;;115.84000000000000;m2;02 - Floor;Metal - Stud Layer [Tragend] (22 mm) | Plasterboard [Finish 2] (16 mm);38;;
racadvancedsampleproject;925be55e-b3cf-454d-a521-260204a42898-0003976b;Beleuchtung;60 watt Incandescent;Table Lamp 4;67;1;Stk;03 - Floor;;;;
racadvancedsampleproject;925be55e-b3cf-454d-a521-260204a42898-0003976c;Beleuchtung;60 watt Incandescent;Table Lamp 4;68;1;Stk;03 - Floor;;;;
racadvancedsampleproject;925be55e-b3cf-454d-a521-260204a42898-0003976d;Beleuchtung;60 watt Incandescent;Table Lamp 4;69;1;Stk;03 - Floor;;;;
racadvancedsampleproject;925be55e-b3cf-454d-a521-260204a42898-0003976e;Beleuchtung;60 watt Incandescent;Table Lamp 4;70;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003b604;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;12;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003b68f;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;2;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003b6d2;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;3;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003b6d3;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;4;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003b768;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;5;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003b769;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;6;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003b79b;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;7;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003b79c;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;8;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003b7ce;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;9;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003b7cf;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;10;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003b801;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;11;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003b802;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;13;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003b834;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;14;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003b835;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;15;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003b867;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;16;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003b868;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;17;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003bd9f;Beleuchtung;40 watt Halogen;Sconce 4;21;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003c093;Beleuchtung;40 watt Halogen;Sconce 4;18;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003c0c6;Beleuchtung;40 watt Halogen;Sconce 4;19;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003c0fb;Beleuchtung;40 watt Halogen;Sconce 4;20;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003c0fc;Beleuchtung;40 watt Halogen;Sconce 4;22;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003c111;Beleuchtung;40 watt Halogen;Sconce 4;23;1;Stk;03 - Floor;;;;
racadvancedsampleproject;da2c0b38-0351-4835-b45a-db7110b0617d-0003c171;Beleuchtung;40 watt Halogen;Sconce 4;24;1;Stk;03 - Floor;;;;
racadvancedsampleproject;756f49ce-c2cc-4494-9564-30c29a26ab7f-0003c870;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;25;1;Stk;02 - Floor;;;;
racadvancedsampleproject;756f49ce-c2cc-4494-9564-30c29a26ab7f-0003c871;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;26;1;Stk;02 - Floor;;;;
racadvancedsampleproject;756f49ce-c2cc-4494-9564-30c29a26ab7f-0003c8dc;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;27;1;Stk;02 - Floor;;;;
racadvancedsampleproject;756f49ce-c2cc-4494-9564-30c29a26ab7f-0003c8dd;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;28;1;Stk;02 - Floor;;;;
racadvancedsampleproject;756f49ce-c2cc-4494-9564-30c29a26ab7f-0003c95a;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;29;1;Stk;02 - Floor;;;;
racadvancedsampleproject;756f49ce-c2cc-4494-9564-30c29a26ab7f-0003c95b;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;30;1;Stk;02 - Floor;;;;
racadvancedsampleproject;756f49ce-c2cc-4494-9564-30c29a26ab7f-0003c985;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;31;1;Stk;02 - Floor;;;;
racadvancedsampleproject;756f49ce-c2cc-4494-9564-30c29a26ab7f-0003c986;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;32;1;Stk;02 - Floor;;;;
racadvancedsampleproject;756f49ce-c2cc-4494-9564-30c29a26ab7f-0003c9b0;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;33;1;Stk;02 - Floor;;;;
racadvancedsampleproject;756f49ce-c2cc-4494-9564-30c29a26ab7f-0003c9b1;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;34;1;Stk;02 - Floor;;;;
racadvancedsampleproject;756f49ce-c2cc-4494-9564-30c29a26ab7f-0003c9db;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;35;1;Stk;02 - Floor;;;;
racadvancedsampleproject;756f49ce-c2cc-4494-9564-30c29a26ab7f-0003c9dc;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;36;1;Stk;02 - Floor;;;;
racadvancedsampleproject;756f49ce-c2cc-4494-9564-30c29a26ab7f-0003ca06;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;37;1;Stk;02 - Floor;;;;
racadvancedsampleproject;756f49ce-c2cc-4494-9564-30c29a26ab7f-0003ca07;Beleuchtung;2440mm - 277V;Pendant Light - Linear - 1 Lamp;38;1;Stk;02 - Floor;;;;
racadvancedsampleproject;110717dd-74ae-4656-b586-fb1c03e9905a-00030f41;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00030fa2;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00030fcc;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00030fce;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00030fd0;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00030fd2;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00030fd4;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00030fd6;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00030fd8;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00030fda;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00030fdc;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00030fde;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00030fe0;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00030fe2;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00030fe4;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00030fe6;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00030fe8;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00030fea;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00030fec;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00030fee;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00031011;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00031027;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00031033;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00031035;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-0003104d;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-0003107e;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00031088;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-0003108a;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-0003108c;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-0003108e;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00031090;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00031092;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00031094;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00031096;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00031098;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-0003109a;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-000310b2;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-000310ca;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-000310da;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-000310dc;Allgemein;SHADE SUPPORT;SHADE SUPPORT;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;925be55e-b3cf-454d-a521-260204a42898-0003975b;Allgemein;Potted Plant;Potted Plant;;1;Stk;03 - Floor;;;;
racadvancedsampleproject;925be55e-b3cf-454d-a521-260204a42898-0003975c;Allgemein;Potted Plant;Potted Plant;;1;Stk;03 - Floor;;;;
racadvancedsampleproject;68b5e6d1-3275-40e2-9043-4b72a1f0aa12-0002c046;Moebel;0915mm Diameter;M_Table-Dining Round w Chairs;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;68b5e6d1-3275-40e2-9043-4b72a1f0aa12-0002c048;Moebel;M_Chair-Breuer;M_Chair-Breuer;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;68b5e6d1-3275-40e2-9043-4b72a1f0aa12-0002c049;Moebel;M_Chair-Breuer;M_Chair-Breuer;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;68b5e6d1-3275-40e2-9043-4b72a1f0aa12-0002c04a;Moebel;M_Chair-Breuer;M_Chair-Breuer;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;68b5e6d1-3275-40e2-9043-4b72a1f0aa12-0002c04b;Moebel;M_Chair-Breuer;M_Chair-Breuer;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;68b5e6d1-3275-40e2-9043-4b72a1f0aa12-0002c088;Moebel;0915mm Diameter;M_Table-Dining Round w Chairs;;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;68b5e6d1-3275-40e2-9043-4b72a1f0aa12-0002c08a;Moebel;M_Chair-Breuer;M_Chair-Breuer;;1;Stk;01 - Entry Level;;;;
