eBKP-H Code;Kostengruppe / Position;Kennwert Einheit;Kennwert tief CHF/Einheit;Kennwert mittel CHF/Einheit;Kennwert hoch CHF/Einheit;Anmerkungen
I02;Bauwerk in der Umgebung;m² Grundfläche;30;115;200;Rampen, Wege, Mauern
I02.01;Böschungsverbau;m² Fläche;50;175;300;Mauern, Stützen
I02.02;Stützmauer;m³ Volumen;200;500;800;Materialkosten
I02.03;Frei stehende Wand;m² Fläche;100;250;400;Trennwand aussen
I02.04;Treppe, Rampe;Stück;5000;17500;30000;Pro Element
I02.05;Kleinbauwerk;Stück;2000;26000;50000;Unterstand, Pergola
I02.06;Unterirdisches Bauwerk;m³;500;1750;3000;Tiefgarage pro m³
I02.07;Absturz-, Anprallschutzeinrichtung für Umgebung;m² Fläche;150;;500;Schutzgeländer, Netze, Fallschutz
I02.08;Einfriedung;m Laufmeter;80;190;300;Zaun, Hecke, Mauer inkl. Tor, Pforte
I03;Grünfläche;;;;;
I03.01;Vegetationstragschicht;m² Fläche;30;65;100;Bodenaufbau, Humus, Drainage
I03.02;Saatfläche;m² Fläche;5;12.5;20;Ansaat, Rasenverlegung
I03.03;Flächenbepflanzung, Hecke;m² Fläche;50;125;200;Flächig gepflanzte Beete oder Heckenpflanzung
I03.04;Vertikale Begrünung;m² Fläche;150;375;600;Fassadenbegrünung, Grünwände, Fachwerk-Systeme
I03.05;Einzelbepflanzung;Stück;150;325;500;Einzelne Bäume oder Sträucher
I03.06;Einfassung, Abschluss Grünfläche;m Längenmass;50;125;200;Beetkanten, Abgrenzungen
I03.07;Naturnahe Wasserfläche;m²;100;250;400;Biotope, Teiche, naturnahe Gestaltung
I03.08;Ingenieurbiologische Massnahme;m² Fläche;80;190;300;Biotechnische Sicherung, Begrünung Böschungen
I03.09;Pflegemassnahme bis Übergabe;m² Fläche;5;10;15;Ansaatpflege, Etablierungsphase
I04;Hartfläche;;;;;
I04.01;Fundations-, Tragschicht;m² Fläche;20;40;60;Unterlagerbau, Verdichtung
I04.02;Einfassung, Abschluss Hartfläche;m Längenmass;30;65;100;Bordsteine, Einfassungen
I04.03;Deckschicht;m² Fläche;50;150;250;Asphalt, Betonpflaster, Natursteinen, Holzbelag
I04.04;Bodenmarkierung;m Längenmass;10;20;30;Markierungen, Farbanstriche
I05;Technik Umgebung;;;;;
I05.01;Elektroanlage Starkstrom für Umgebung;m² Grundfläche;10;25;40;Aussen-Stromversorgung, Steckdosen, Beleuchtung
I05.02;Elektroanlage Schwachstrom für Umgebung;m² Grundfläche;5;12.5;20;Aussen-Kommunikation, IT-Verkabelung, Signale
I05.03;Wärmeanlage für Umgebung;m² Grundfläche;20;50;80;Aussenbeheizung, Terrassenheizer, Frostschutz
I05.04;Kälteanlage für Umgebung;m² Grundfläche;15;37.5;60;Aussen-Kühlung, Nebelsysteme
I05.05;Sanitäre Anlage für Umgebung;Stück;5000;17500;30000;Aussen-Toiletten, Brunnen, Fontänen
I05.06;Oberflächenentwässerung für Umgebung;m²;20;50;80;Abwasserleitungen, Gullys, Versickerung
I05.07;Transportanlage für Umgebung;Pauschal;20000;85000;150000;Aufzugsysteme aussen, Seilbahnen
I05.08;Perimeterschutz;m²;50;175;300;Sicherheitszäune, Schranken, Kameras aussen
I06;Ausstattung Umgebung;;;;;
I06.01;Mobile Ausstattung für Umgebung;Stück;500;2750;5000;Benches, Mülleimer, Parkbänke
I06.02;Fixierte Ausstattung für Umgebung;Stück;2000;8500;15000;Eingebaute Sitzbänke, Rankgerüste, Pergolen
I06.03;Spiel-, Sportgerät für Umgebung;Stück;3000;16500;30000;Spielgeräte, Sportausrüstung
I06.04;Abfallentsorgungseinrichtung für Umgebung;Stück;800;2900;5000;Mülleimer, Separatsammlungs-Boxen
;;;;;;
J;AUSSTATTUNG GEBÄUDE;;100;200;300;
J01;Mobiliar;m² Grundfläche;50;175;300;Möbelausstattung
J01.01;Allgemeines Mobiliar;m² Grundfläche;30;90;150;Standard Büromöbel, Tische, Stühle
J01.02;Nutzungsspezifisches Mobiliar;m² Grundfläche;50;225;400;Spital-/Schuleinrichtungen, Spezialeinbauten
J01.03;Mobile Leuchte;Stück;200;850;1500;Lampen, Leuchten
J01.04;Signaletik;Stück;500;1750;3000;Beschilderung, Leitsysteme
J02;Kleininventar;m² Grundfläche;30;90;150;Kleinere Einrichtungsgegenstände
J02.01;Allgemeines Kleininventar;m² Grundfläche;15;47.5;80;Geschirr, Besteck, Textilien allgemein
J02.02;Nutzungsspezifisches Kleininventar;m² Grundfläche;20;85;150;Spezialausrüstung nach Nutzung
J02.03;Mobiles Gerät;Stück;500;5250;10000;Tragbare Geräte, Werkzeuge
J03;Textilien;m² Grundfläche;20;60;100;Vorhänge, Gardinen, Läufer
J03.01;Allgemeine Textilien;m² Grundfläche;10;30;50;Standard Vorhänge, Teppiche
J03.02;Nutzungsspezifische Textilien;m² Grundfläche;15;57.5;100;Spezialvorhänge, OP-Textilien, etc.
J04;Kunst am Bau;Pauschal;20000;260000;500000;Kunstintegration
J04.01;Kunstobjekt;Stück;10000;255000;500000;Skulpturen, Installationen
J04.02;Künstlerisch gestaltetes Bauteil;m²;100;550;1000;Künstlerisch gestaltete Fassaden, Wände
;;;;;;
V;PLANUNGSKOSTEN;;80;115;150;
V01;Planer;% Erstellungskosten;8;11.5;15;Je nach Projektumfang
V01.01;Architekt;% Erstellungskosten;6;9;12;Planung und Koordination
V01.02;Landschaftsarchitekt;% Umgebungskosten;3;5.5;8;Grünflächengestaltung
V01.03;Bauingenieur;% Erstellungskosten;3;5;7;Tragwerksplanung
V01.04;Fachingeneur Gebäudetechnik;% Erstellungskosten;4;6;8;TGA-Planung
V01.05;Spezialist;% Erstellungskosten;2;3.5;5;Spezialplanung
V01.06;Generalplaner, Planergemeinschaft;% Erstellungskosten;8;11;14;"Koordinationen mehrerer Planer; Gesamtverantwortung"
V01.07;Nebenkosten zu Planerleistungen;% Erstellungskosten;5;10;15;Gebühren, Versciherungen, Reisekosten, Software-Lizenzen, Bürokosten anteilig
V02;Unternehmer;% Erstellungskosten;5;8.5;12;Bauleitung
V02.01;Beratung zur Planung;% Kosten;2;3.5;5;Kostenmanagement
V02.02;Vorbereitung zur Bewirtschaftung;% Kosten;1;2;3;Übergabe, Schulung
V03;Auftraggeber;% Erstellungskosten;2;3.5;5;Projektleitung intern
V03.01;Auswahlverfahren;Pauschal;5000;27500;50000;Bewerbungsverfahren
V03.02;Eigenümer;% Kosten;1;2;3;Verwaltung
V03.03;Betreiber;% Kosten;1;1.5;2;Vorbereitung
V03.04;Nutzer;% Kosten;0.5;1;1.5;Mitsprache, Beratung
V03.05;Berater;% Kosten;1;2;3;Externe Beratung
V03.06;Anwalt, Experte, Gericht;% Kosten;1;3;5;Rechtliche Begleitung
V03.07;Plattform, Projektraum;Pauschal;2000;11000;20000;IT-Infrastruktur
;;;;;;
W;NEBENKOSTEN ZU ERSTELLUNG;;40;70;100;
W01;Bewilligung, Gebühr;% Erstellungskosten;1;2;3;Baubewilligung, Gebühren
W01.01;Bewilligung;Pauschal;5000;27500;50000;Je nach Kanton
W01.02;Gebühr;Pauschal;3000;16500;30000;Registrierungen, Gebühren
W02;Versicherung, Garantie;% Erstellungskosten;0.5;1.25;2;Versicherungen während Bau
W02.01;Versicherung;% Kosten;0.3;0.9;1.5;Bauherrenhaftpflicht, Feuer
W02.02;Garantie;% Kosten;0.2;0.6;1;Gewährleistung
W02.03;Rückversicherung;% Kosten;0.1;0.3;0.5;Versicherungsrückkauf
W03;Kapitalkosten;% Kosten oder CHF/Jahr;3;5.5;8;Finanzierungszinsen
W03.01;Kapitalkosten zu Grundstück;% Grundstückkosten;3;4.5;6;Zinsen auf Grundstück
W03.02;Kapitalkosten zu Erstellung;% Erstellungskosten;3;5.5;8;Bauzinsen
W04;Bewirtung, Öffentlichkeitsarbeit, Entschädigung;% Erstellungskosten;0.5;1.25;2;PR, Veranstaltungen
W04.01;Bewirtungskosten;Pauschal;5000;27500;50000;Events, Bewirtung
W04.02;Öffentlichkeitsarbeit;Pauschal;3000;16500;30000;Marketing, Kommunikation
W04.03;Entschädigung;Pauschal;2000;11000;20000;Ausgleich für Unannehmlichkeiten
W05;Inbetriebnahme Bauwerk;m² Geschossfläche;5;17.5;30;Inbetriebnahme, Testen
W05.01;Inbetriebnahme Bauwerk;m² Geschossfläche;5;17.5;30;Inbetriebnahme, Testen
W06;Vermietung, Verkauf;% Verkaufserlös;3;5.5;8;Makler, Verwaltung
W06.01;Vergütung zu Erstvermietung;% Erlös;2;3.5;5;Maklergebühren
W06.02;Nebenkosten zu Verkauf;% Erlös;2;3;4;Makler, Notar, Gebühren
W06.03;Vergütung zu Verkauf;% Erlös;1;2;3;Verkaufsprovisionen
W06.04;Nebenkosten zu Verkauf;% Erlös;0.5;1.25;2;Verwaltungsgebühren
W07;Betriebserfolg;% Betriebskosten;5;10;15;Gewinn bei Bewirtschaft.
W07.01;Betriebsaufwand;% Betriebserlös;60;70;80;Personalkosten, Unterh.
W07.02;Betriebsergebnis;% Betriebserlös;5;10;15;Reiner Gewinn
;;;;;;
Y;RESERVE, TEUERUNG;;50;100;150;
Y01;Reserve;% Erstellungskosten;5;10;15;Projektreserve
Y01.01;Reserve;% Kosten;5;10;15;Unvorhergesehenes
Y02;Teuerung;% pro Jahr;2;3;4;Preissteigerung
Y02.01;Teuerung;% pro Jahr;2;3;4;Inflationsausgleich
;;;;;;
Z;MEHRWERTSTEUER;;8.1;8.1;8.1;
Z01;Mehrwertsteuer;% der Kosten;8.1;8.1;8.1;Schweizer MWST 2026
Z01.01;Mehrwertsteuer;% der Kosten;8.1;8.1;8.1;Standard MWST-Satz
